City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Victoria,HK,2022-09-26 03:20:39,22.2855,114.1577,89.96,63,16,5.99
1,Ostrovnoy,RU,2022-09-26 03:26:18,68.0531,39.5131,39.61,84,99,9.51
2,Punta Arenas,CL,2022-09-26 03:21:58,-53.15,-70.9167,42.91,70,75,11.5
3,Qaanaaq,GL,2022-09-26 03:26:18,77.484,-69.3632,30.07,86,100,7.94
4,Nuevo Progreso,MX,2022-09-26 03:26:19,23.1667,-97.95,78.48,75,11,3.42
5,Kihei,US,2022-09-26 03:22:07,20.785,-156.4656,89.62,69,40,8.05
6,Maunabo,PR,2022-09-26 03:26:20,18.0072,-65.8993,82.22,84,100,8.93
7,Troy,US,2022-09-26 03:25:55,42.6056,-83.1499,55.54,87,0,4.61
8,Chokurdakh,RU,2022-09-26 03:26:21,70.6333,147.9167,33.21,65,82,14.03
9,Esna,EG,2022-09-26 03:26:21,25.2934,32.554,78.82,19,0,5.53
10,Ushuaia,AR,2022-09-26 03:18:16,-54.8,-68.3,46.06,61,75,3.44
11,Bluff,NZ,2022-09-26 03:26:22,-46.6,168.3333,55.65,75,76,8.12
12,Zhigansk,RU,2022-09-26 03:26:22,66.7697,123.3711,33.46,97,100,1.66
13,Itarema,BR,2022-09-26 03:25:19,-2.9248,-39.9167,77.92,79,5,13.96
14,Ixtapa,MX,2022-09-26 03:26:23,20.7,-105.2,83.43,84,100,2.3
15,Coquimbo,CL,2022-09-26 03:26:23,-29.9533,-71.3436,51.53,87,20,8.05
16,Tasiilaq,GL,2022-09-26 03:26:23,65.6145,-37.6368,41.16,68,99,2.68
17,Kulhudhuffushi,MV,2022-09-26 03:26:24,6.6221,73.07,82.51,74,100,11.61
18,Rikitea,PF,2022-09-26 03:19:36,-23.1203,-134.9692,68.67,60,0,13.15
19,Hobart,AU,2022-09-26 03:20:37,-42.8794,147.3294,63.27,55,75,6.91
20,Eureka,US,2022-09-26 03:26:25,40.8021,-124.1637,67.68,89,5,4.52
21,Butaritari,KI,2022-09-26 03:21:59,3.0707,172.7902,82.13,72,97,9.4
22,Bredasdorp,ZA,2022-09-26 03:22:01,-34.5322,20.0403,53.02,95,100,3.69
23,Mount Gambier,AU,2022-09-26 03:26:26,-37.8333,140.7667,55.31,94,75,13.8
24,Barrow,US,2022-09-26 03:26:26,71.2906,-156.7887,30.22,69,100,10.36
25,Sayyan,YE,2022-09-26 03:26:26,15.1718,44.3244,59.02,27,69,6.98
26,Mar Del Plata,AR,2022-09-26 03:20:12,-38.0023,-57.5575,56.08,97,20,3.44
